Dillon Wamsley,"Dillon Wamsley kickoff 59 yards to the CAR6, Tunde Adeleke return 9 yards to the CAR15, Dexter Brown for 23 yards to the CAR38 (Aaron Dowd).",KICKER
Tunde Adeleke,"Dillon Wamsley kickoff 59 yards to the CAR6, Tunde Adeleke return 9 yards to the CAR15, Dexter Brown for 23 yards to the CAR38 (Aaron Dowd).",RETURNER
Aaron Dowd,"Dillon Wamsley kickoff 59 yards to the CAR6, Tunde Adeleke return 9 yards to the CAR15, Dexter Brown for 23 yards to the CAR38 (Aaron Dowd).",TACKLER_ONE
Jahmari Bennett,Jahmari Bennett rush for 3 yards to the CAR41 (Corey Flude).,RUSHER
Corey Flude,Jahmari Bennett rush for 3 yards to the CAR41 (Corey Flude).,TACKLER_ONE
Jesse Mills,"Jesse Mills pass complete to Nathaniel Behar for 10 yards to the CAR51, out-of-bounds, PENALTY CAR Holding 10 yards to the CAR41.",PASSER
Nathaniel Behar,"Jesse Mills pass complete to Nathaniel Behar for 10 yards to the CAR51, out-of-bounds, PENALTY CAR Holding 10 yards to the CAR41.",RECEIVER
Chris Mackey,Jesse Mills pass complete to Jahmari Bennett for 12 yards to the CAR48 (Chris Mackey).,TACKLER_ONE
Mike Moore,"Jahmari Bennett rush for 11 yards to the QUE51,  (Mike Moore).",TACKLER_ONE
Jake Firlotte,Jesse Mills pass complete to Jahmari Bennett for 6 yards to the QUE45 (Jake Firlotte).,TACKLER_ONE
S. Napolitano,S. Napolitano rush for 3 yards to the QUE42 (Justin Bowman,RUSHER
Justin Bowman,S. Napolitano rush for 3 yards to the QUE42 (Justin Bowman,TACKLER_ONE
M. Patterson,"M. Patterson rush for 1 yard to the QUE41,  (Corey Flude).",RUSHER
Matt Pendergast,M. Patterson rush for 11 yards to the QUE35 (Matt Pendergast).,TACKLER_ONE
TEAM,"Jahmari Bennett rush for 16 yards to the QUE6, fumble forced by Matt Pendergast, fumble by Jahmari Bennett recovered by CAR Theshawn Barry at QUE6,  (TEAM).",TACKLER_ONE
Dexter Brown,"Jesse Mills pass complete to Dexter Brown for 16 yards to the QUE0, TOUCHDOWN,  09:39.",RECEIVER
Michael Domagala,Michael Domagala kick attempt GOOD.,KICKER
Jesse Andrews,"Michael Domagala kickoff 60 yards to the QUE5, Jesse Andrews return 19 yards to the QUE24 (Leon Cenerini).",RETURNER
Leon Cenerini,"Michael Domagala kickoff 60 yards to the QUE5, Jesse Andrews return 19 yards to the QUE24 (Leon Cenerini).",TACKLER_ONE
K. Onyeka,Jesse Andrews rush for 6 yards to the QUE30 (K. Onyeka).,TACKLER_ONE
Nate Hobbs,"Nate Hobbs pass complete to Aaron Dowd for 8 yards to the QUE38, .",PASSER
Guillaume Caron,Jesse Andrews rush for -1 yard to the QUE37 (Guillaume Caron).,TACKLER_ONE
Curtis Carmichael,Nate Hobbs pass incomplete to Curtis Carmichael.,RECEIVER
Stefan Carty,Jesse Andrews rush for no gain to the QUE50 (Stefan Carty).,TACKLER_ONE
